id,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2374,11877.98315,499.488,04N2K1,2016/2/2 6:12,8PSK,339.334,0,·ñ,·ñ,,,NA,,NA
2375,12053.82788,317.361,04N2K1,2016/1/30 23:08,QPSK,348.916,512000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
2376,12074.62006,348.318,04N2K1,2016/1/14 21:35,,0,0,,,,,NA,,NA
2377,11735.73608,50.284,04N2K1,2016/1/29 0:33,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2378,20604.78613,507.582,04N2K1,2016/1/11 23:29,8PSK,769.133,0,·ñ,·ñ,,,NA,,NA
2379,20605.85156,496.092,04N2K1,2016/1/18 5:21,8PSK,293.151,0,·ñ,·ñ,,,NA,,NA
2380,20565.73535,553.006,04N2K1,2016/1/25 7:36,8PSK,849.461,0,·ñ,·ñ,,,NA,,NA
2381,20539.89063,66.816,04N2K1,2016/1/12 6:54,8PSK,21.582,0,·ñ,·ñ,,,NA,,NA
2382,11735.73706,50.971,04N2K1,2016/1/29 2:03,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2383,11942.7146,161.203,04N2K1,2016/1/11 17:35,BPSK,178.653,0,·ñ,·ñ,,,NA,,NA
2384,11851.09645,15.186,04N2K1,2016/1/7 11:01,QPSK,12.076,0,·ñ,·ñ,,,NA,,NA
2385,11824.4939,963.85,04N2K1,2016/1/7 11:01,QPSK,600.221,0,·ñ,·ñ,,,NA,,NA
2386,12171.74121,147.752,04N2K1,2016/1/16 1:41,8PSK,159.936,0,·ñ,·ñ,,,NA,,NA
2387,19535.00098,34.194,04N2K1,2016/1/7 11:01,8PSK,16.532,0,·ñ,·ñ,,,NA,,NA
2388,19543.12995,448.923,04N2K1,2016/1/7 11:01,BPSK,314.745,0,·ñ,·ñ,,,NA,,NA
2389,19605.15911,137.619,04N2K1,2016/1/7 11:01,8PSK,110.614,0,·ñ,·ñ,,,NA,,NA
2390,19469.625,61.786,04N2K1,2016/1/7 11:01,8PSK,63.204,0,·ñ,·ñ,,,NA,,NA
2391,12171.73145,165.901,04N2K1,2016/1/16 0:13,8PSK,159.936,0,·ñ,·ñ,,,NA,,NA
2392,11735.62134,505.44,04N2K1,2016/1/23 6:05,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2393,11740.14624,140.608,04N2K1,2016/1/12 18:04,8PSK,202.261,0,·ñ,·ñ,,,NA,,NA
2394,11735.60156,568.632,04N2K1,2016/1/22 3:08,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2395,11735.57739,690.368,04N2K1,2016/1/23 3:07,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2396,19082,139.855,04N2K1,2016/1/7 11:01,8PSK,176.655,0,·ñ,·ñ,,,NA,,NA
2397,20628.28418,780.204,04N2K1,2016/1/15 19:38,8PSK,321.327,0,·ñ,·ñ,,,NA,,NA
2398,20575.40137,255.539,04N2K1,2016/2/5 12:03,8PSK,260.952,0,·ñ,·ñ,,,NA,,NA
2399,20575.40137,255.539,04N2K1,2016/1/24 6:06,QPSK,231.011,0,·ñ,·ñ,,,NA,,NA
2400,20574.2002,261.481,04N2K1,2016/1/12 22:34,8PSK,292.99,0,·ñ,·ñ,,,NA,,NA
2401,20601.6416,525.116,04N2K1,2016/1/10 5:17,8PSK,315.05,0,·ñ,·ñ,,,NA,,NA
2402,20604.78613,507.582,04N2K1,2016/1/10 5:17,8PSK,310.654,0,·ñ,·ñ,,,NA,,NA
2403,20605.85156,496.092,04N2K1,2016/1/10 5:17,QPSK,376.105,0,·ñ,·ñ,,,NA,,NA
2404,20565.73535,553.006,04N2K1,2016/1/24 22:30,8PSK,577.562,0,·ñ,·ñ,,,NA,,NA
2405,20566.99707,273.796,04N2K1,2016/1/23 15:00,8PSK,130.588,0,·ñ,·ñ,,,NA,,NA
2406,20566.61133,261.29,04N2K1,2016/1/10 5:18,QPSK,183.837,0,·ñ,·ñ,,,NA,,NA
2407,11505.06897,43.658,04B6K2,2016/1/10 23:12,,NA,NA,,,,,NA,,NA
2408,19545.4043,541.061,04N2K1,2016/1/7 11:01,BPSK,264.529,0,·ñ,·ñ,,,NA,,NA
2409,20631.41797,67.781,04N2K1,2016/1/7 11:01,8PSK,51.095,0,·ñ,·ñ,,,NA,,NA
2410,20691.69043,480.717,04N2K1,2016/1/7 11:01,QPSK,365.65,0,·ñ,·ñ,,,NA,,NA
2411,20574.2002,261.481,04N2K1,2016/1/10 13:56,8PSK,174.759,0,·ñ,·ñ,,,NA,,NA
2412,20575,259.93,04N2K1,2016/1/11 14:48,8PSK,156.427,0,·ñ,·ñ,,,NA,,NA
2413,11877.98462,500.249,04N2K1,2016/1/10 9:29,QPSK,499.92,0,·ñ,·ñ,,,NA,,NA
2414,20618.00586,15.216,04N2K1,2016/1/10 13:54,8PSK,5.167,0,,,,,NA,,NA
2415,19542.6377,640.023,04N2K1,2016/1/7 11:01,8PSK,807.285,0,·ñ,·ñ,,,NA,,NA
2416,19463.51953,60.227,04N2K1,2016/1/7 11:01,8PSK,28.506,0,·ñ,·ñ,,,NA,,NA
2417,19547.62962,143.314,04N2K1,2016/1/7 11:01,8PSK,105.707,0,·ñ,·ñ,,,NA,,NA
2418,11735.71826,128.773,04N2K1,2016/1/10 9:38,8PSK,356.9,0,·ñ,·ñ,,,NA,,NA
2419,20598.47852,518.742,04B6K2,2016/1/9 20:36,QPSK,375.275,0,·ñ,·ñ,,,NA,,NA
2420,12164.94434,1184.6,04N2K1,2016/2/2 10:46,QPSK,1433.593,2048000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
2421,11929.35278,128.105,04N2K1,2016/2/1 13:30,8PSK,142.264,0,·ñ,·ñ,,,NA,,NA
2422,11735.72852,90.726,04N2K1,2016/1/27 15:11,8PSK,140.536,0,·ñ,·ñ,,,NA,,NA
2423,20650.80762,15.186,04N2K1,2016/1/7 11:01,QPSK,12.027,0,·ñ,·ñ,,,NA,,NA
